
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-25 at 14:21:04 or 1627222864 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627222864,13.41,13.43,-0.09,0.12,0.23,-1.17,3.10,-0.32,-127.00,23.38,23.31
1627222870,13.37,13.38,-0.10,0.11,0.23,-1.30,3.08,-0.29,-127.00,23.38,23.31
1627222876,13.36,13.36,-0.10,0.11,0.23,-1.30,3.08,-0.28,-127.00,23.38,23.31
1627222882,13.42,13.43,-0.09,0.12,0.23,-1.19,3.09,-0.30,-127.00,23.38,23.31
1627222888,13.36,13.37,-0.10,0.11,0.23,-1.30,3.06,-0.26,-127.00,23.38,23.31
1627222894,13.34,13.36,-0.10,0.11,0.23,-1.31,3.08,-0.30,-127.00,23.38,23.31
1627222900,13.34,13.35,-0.10,0.11,0.23,-1.31,3.08,-0.28,-127.00,23.44,23.31
1627222906,13.34,13.35,-0.10,0.11,0.23,-1.31,3.07,-0.29,-127.00,23.44,23.31
1627222913,13.34,13.35,-0.10,0.11,0.23,-1.31,3.05,-0.26,-127.00,23.38,23.31
1627222918,13.34,13.35,-0.10,0.11,0.22,-1.31,3.08,-0.30,-127.00,23.38,23.31
1627222946,13.71,13.72,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
